Sample name	title	source name	organism	idat file 1	idat file 2	subexperiment	CORIELL_ID	cell_line	donor_age	donor_sex	culture_oxygen	culture_agent	culture_pctFBS	expression_vector	subculture	population_doublings	days_in_culture	batch_date 	growth protocol	treatment protocol	molecule	label	platform
203723190088_R05C01	FSF1_11	Skin, sacrum	Homo sapiens	203723190088_R05C01_Grn.idat	203723190088_R05C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	33.83131998	36	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190076_R07C01	FSF1_12	Skin, sacrum	Homo sapiens	203723190076_R07C01_Grn.idat	203723190076_R07C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	38.02019351	42	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190088_R06C01	FSF1_13	Skin, sacrum	Homo sapiens	203723190088_R06C01_Grn.idat	203723190088_R06C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	38.11487061	42	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190088_R07C01	FSF1_14	Skin, sacrum	Homo sapiens	203723190088_R07C01_Grn.idat	203723190088_R07C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	41.12234254	47	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190076_R08C01	FSF1_15	Skin, sacrum	Homo sapiens	203723190076_R08C01_Grn.idat	203723190076_R08C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	41.13690452	47	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190078_R01C01	FSF1_16	Skin, sacrum	Homo sapiens	203723190078_R01C01_Grn.idat	203723190078_R01C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	43.71140848	52	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190088_R08C01	FSF1_17	Skin, sacrum	Homo sapiens	203723190088_R08C01_Grn.idat	203723190088_R08C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	43.8482802	52	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190090_R01C01	FSF1_18	Skin, sacrum	Homo sapiens	203723190090_R01C01_Grn.idat	203723190090_R01C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	47.0820055	58	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190078_R02C01	FSF1_19	Skin, sacrum	Homo sapiens	203723190078_R02C01_Grn.idat	203723190078_R02C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	47.18841825	58	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190090_R02C01	FSF1_20	Skin, sacrum	Homo sapiens	203723190090_R02C01_Grn.idat	203723190090_R02C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	50.58316798	65	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190078_R03C01	FSF1_21	Skin, sacrum	Homo sapiens	203723190078_R03C01_Grn.idat	203723190078_R03C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	50.66151449	65	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190090_R03C01	FSF1_22	Skin, sacrum	Homo sapiens	203723190090_R03C01_Grn.idat	203723190090_R03C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	54.80939085	73	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190078_R04C01	FSF1_23	Skin, sacrum	Homo sapiens	203723190078_R04C01_Grn.idat	203723190078_R04C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	55.87160482	73	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190090_R04C01	FSF1_24	Skin, sacrum	Homo sapiens	203723190090_R04C01_Grn.idat	203723190090_R04C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	56.77348479	79	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190078_R05C01	FSF1_25	Skin, sacrum	Homo sapiens	203723190078_R05C01_Grn.idat	203723190078_R05C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	58.27179845	79	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190090_R05C01	FSF1_26	Skin, sacrum	Homo sapiens	203723190090_R05C01_Grn.idat	203723190090_R05C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	61.00679773	90	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190078_R06C01	FSF1_27	Skin, sacrum	Homo sapiens	203723190078_R06C01_Grn.idat	203723190078_R06C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	61.26698179	86	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190090_R06C01	FSF1_28	Skin, sacrum	Homo sapiens	203723190090_R06C01_Grn.idat	203723190090_R06C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	64.00979166	102	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190078_R07C01	FSF1_29	Skin, sacrum	Homo sapiens	203723190078_R07C01_Grn.idat	203723190078_R07C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	64.627454	95	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190078_R08C01	FSF1_30	Skin, sacrum	Homo sapiens	203723190078_R08C01_Grn.idat	203723190078_R08C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	66.19419589	102	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620098_R01C01	AVEC1_1	Iliac vein	Homo sapiens	202253620098_R01C01_Grn.idat	202253620098_R01C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	NA	8.849131023	10	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620098_R02C01	AVEC1_2	Iliac vein	Homo sapiens	202253620098_R02C01_Grn.idat	202253620098_R02C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	NA	14.65821318	17	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620098_R03C01	AVEC1_3	Iliac vein	Homo sapiens	202253620098_R03C01_Grn.idat	202253620098_R03C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	a	17.40545979	24	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620098_R04C01	AVEC1_4	Iliac vein	Homo sapiens	202253620098_R04C01_Grn.idat	202253620098_R04C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	b	17.61668387	24	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620098_R05C01	AVEC1_5	Iliac vein	Homo sapiens	202253620098_R05C01_Grn.idat	202253620098_R05C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	c	17.8054769	24	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620098_R06C01	AVEC1_6	Iliac vein	Homo sapiens	202253620098_R06C01_Grn.idat	202253620098_R06C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	a	19.81250842	30	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620098_R08C01	AVEC1_7	Iliac vein	Homo sapiens	202253620098_R08C01_Grn.idat	202253620098_R08C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	c	20.0062445	30	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620098_R07C01	AVEC1_8	Iliac vein	Homo sapiens	202253620098_R07C01_Grn.idat	202253620098_R07C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	b	20.05810343	30	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
202253620099_R03C01	AVEC1_9	Iliac vein	Homo sapiens	202253620099_R03C01_Grn.idat	202253620099_R03C01_Red.idat	Baseline profiling	AG11182	Adult_vascular_endothelial_cell_1	15 years	male	Ambient	NA	Full	NA	b	22.5078494	37	12.26.18	Vascular endothelial cells were maintained in Medium 199 with 1X GlutaMAX, 0.02mg/ml endothelial cell growth supplement, 0.05 mg/ml sodium heparin, and 15% v/v fetal bovine serum on plates pre-coated with gelatin. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent.	NA	genomic DNA	Cy3 and Cy5	GPL23976
